pose,center,size,color,value,total_dust
"(3.875, 1.5, 0)","(3.5, 1.5, 0)","[0.25, 0.4, 0]",Yellow,16412,4036951
"(3.5, 1.125, 0)","(3.5, 1.5, 0)","[0.4, 0.25, 0]",Yellow,14299,4036951
"(3.125, 1.5, 0)","(3.5, 1.5, 0)","[0.25, 0.4, 0]",Green,4270,4036951
"(3.5, 2.875, 0)","(3.5, 2.5, 0)","[0.4, 0.25, 0]",Gray,18000,4036951
"(3.875, 2.5, 0)","(3.5, 2.5, 0)","[0.25, 0.4, 0]",Green,8801,4036951
"(3.5, 2.125, 0)","(3.5, 2.5, 0)","[0.4, 0.25, 0]",Gray,579,4036951
"(3.125, 2.5, 0)","(3.5, 2.5, 0)","[0.25, 0.4, 0]",Gray,315,4036951
"(3.5, 3.875, 0)","(3.5, 3.5, 0)","[0.4, 0.25, 0]",Gray,1658,4036951
"(3.875, 3.5, 0)","(3.5, 3.5, 0)","[0.25, 0.4, 0]",Yellow,17538,4036951
"(3.5, 3.125, 0)","(3.5, 3.5, 0)","[0.4, 0.25, 0]",Gray,1471,4036951
"(3.125, 3.5, 0)","(3.5, 3.5, 0)","[0.25, 0.4, 0]",Yellow,15071,4036951
"(3.5, 4.875, 0)","(3.5, 4.5, 0)","[0.4, 0.25, 0]",Green,6524,4036951
"(3.875, 4.5, 0)","(3.5, 4.5, 0)","[0.25, 0.4, 0]",Yellow,13660,4036951
"(3.5, 4.125, 0)","(3.5, 4.5, 0)","[0.4, 0.25, 0]",Red,18954,4036951
"(3.125, 4.5, 0)","(3.5, 4.5, 0)","[0.25, 0.4, 0]",Gray,3687,4036951
"(3.5, 5.875, 0)","(3.5, 5.5, 0)","[0.4, 0.25, 0]",Gray,2927,4036951
"(3.875, 5.5, 0)","(3.5, 5.5, 0)","[0.25, 0.4, 0]",Green,7824,4036951
"(3.5, 5.125, 0)","(3.5, 5.5, 0)","[0.4, 0.25, 0]",Green,4777,4036951
"(3.125, 5.5, 0)","(3.5, 5.5, 0)","[0.25, 0.4, 0]",Yellow,14844,4036951
"(3.5, 6.875, 0)","(3.5, 6.5, 0)","[0.4, 0.25, 0]",Yellow,16943,4036951
"(3.875, 6.5, 0)","(3.5, 6.5, 0)","[0.25, 0.4, 0]",Yellow,16807,4036951
"(3.5, 6.125, 0)","(3.5, 6.5, 0)","[0.4, 0.25, 0]",Green,7048,4036951
"(3.125, 6.5, 0)","(3.5, 6.5, 0)","[0.25, 0.4, 0]",Yellow,11958,4036951
"(3.5, 7.875, 0)","(3.5, 7.5, 0)","[0.4, 0.25, 0]",Green,5731,4036951
"(3.875, 7.5, 0)","(3.5, 7.5, 0)","[0.25, 0.4, 0]",Gray,679,4036951
"(3.5, 7.125, 0)","(3.5, 7.5, 0)","[0.4, 0.25, 0]",Yellow,16395,4036951
"(3.125, 7.5, 0)","(3.5, 7.5, 0)","[0.25, 0.4, 0]",Yellow,16420,4036951
"(3.5, 8.875, 0)","(3.5, 8.5, 0)","[0.4, 0.25, 0]",Yellow,11042,4036951
"(3.875, 8.5, 0)","(3.5, 8.5, 0)","[0.25, 0.4, 0]",Gray,1450,4036951
"(3.5, 8.125, 0)","(3.5, 8.5, 0)","[0.4, 0.25, 0]",Green,8156,4036951
"(3.125, 8.5, 0)","(3.5, 8.5, 0)","[0.25, 0.4, 0]",Yellow,14966,4036951
"(3.5, 9.875, 0)","(3.5, 9.5, 0)","[0.4, 0.25, 0]",Green,8427,4036951
"(3.875, 9.5, 0)","(3.5, 9.5, 0)","[0.25, 0.4, 0]",Yellow,10568,4036951
"(3.5, 9.125, 0)","(3.5, 9.5, 0)","[0.4, 0.25, 0]",Yellow,10352,4036951
"(3.125, 9.5, 0)","(3.5, 9.5, 0)","[0.25, 0.4, 0]",Yellow,17880,4036951
"(4.5, 0.875, 0)","(4.5, 0.5, 0)","[0.4, 0.25, 0]",Yellow,11194,4036951
"(4.875, 0.5, 0)","(4.5, 0.5, 0)","[0.25, 0.4, 0]",Yellow,16390,4036951
"(4.5, 0.125, 0)","(4.5, 0.5, 0)","[0.4, 0.25, 0]",Yellow,15862,4036951
"(4.125, 0.5, 0)","(4.5, 0.5, 0)","[0.25, 0.4, 0]",Green,8537,4036951
"(4.5, 1.875, 0)","(4.5, 1.5, 0)","[0.4, 0.25, 0]",Green,6068,4036951
"(4.875, 1.5, 0)","(4.5, 1.5, 0)","[0.25, 0.4, 0]",Green,5412,4036951
"(4.5, 1.125, 0)","(4.5, 1.5, 0)","[0.4, 0.25, 0]",Gray,1963,4036951
"(4.125, 1.5, 0)","(4.5, 1.5, 0)","[0.25, 0.4, 0]",Yellow,15846,4036951
"(4.5, 2.875, 0)","(4.5, 2.5, 0)","[0.4, 0.25, 0]",Gray,1564,4036951
"(4.875, 2.5, 0)","(4.5, 2.5, 0)","[0.25, 0.4, 0]",Green,7749,4036951
"(4.5, 2.125, 0)","(4.5, 2.5, 0)","[0.4, 0.25, 0]",Yellow,16107,4036951
"(4.125, 2.5, 0)","(4.5, 2.5, 0)","[0.25, 0.4, 0]",Yellow,15268,4036951
"(4.5, 3.875, 0)","(4.5, 3.5, 0)","[0.4, 0.25, 0]",Green,6627,4036951
"(4.875, 3.5, 0)","(4.5, 3.5, 0)","[0.25, 0.4, 0]",Red,19286,4036951
"(4.5, 3.125, 0)","(4.5, 3.5, 0)","[0.4, 0.25, 0]",Yellow,10344,4036951
"(4.125, 3.5, 0)","(4.5, 3.5, 0)","[0.25, 0.4, 0]",Yellow,13863,4036951
"(4.5, 4.875, 0)","(4.5, 4.5, 0)","[0.4, 0.25, 0]",Yellow,13696,4036951
"(4.875, 4.5, 0)","(4.5, 4.5, 0)","[0.25, 0.4, 0]",Green,6868,4036951
"(4.5, 4.125, 0)","(4.5, 4.5, 0)","[0.4, 0.25, 0]",Green,4226,4036951
"(4.125, 4.5, 0)","(4.5, 4.5, 0)","[0.25, 0.4, 0]",Yellow,13248,4036951
"(4.5, 5.875, 0)","(4.5, 5.5, 0)","[0.4, 0.25, 0]",Yellow,12227,4036951
"(4.875, 5.5, 0)","(4.5, 5.5, 0)","[0.25, 0.4, 0]",Red,18045,4036951
"(4.5, 5.125, 0)","(4.5, 5.5, 0)","[0.4, 0.25, 0]",Yellow,15962,4036951
"(4.125, 5.5, 0)","(4.5, 5.5, 0)","[0.25, 0.4, 0]",Gray,2177,4036951
"(4.5, 6.875, 0)","(4.5, 6.5, 0)","[0.4, 0.25, 0]",Yellow,13610,4036951
"(4.875, 6.5, 0)","(4.5, 6.5, 0)","[0.25, 0.4, 0]",Yellow,10997,4036951
"(4.5, 6.125, 0)","(4.5, 6.5, 0)","[0.4, 0.25, 0]",Yellow,13225,4036951
"(4.125, 6.5, 0)","(4.5, 6.5, 0)","[0.25, 0.4, 0]",Green,8674,4036951
"(4.5, 7.875, 0)","(4.5, 7.5, 0)","[0.4, 0.25, 0]",Yellow,11751,4036951
"(4.875, 7.5, 0)","(4.5, 7.5, 0)","[0.25, 0.4, 0]",Green,6089,4036951
"(4.5, 7.125, 0)","(4.5, 7.5, 0)","[0.4, 0.25, 0]",Green,5522,4036951
"(4.125, 7.5, 0)","(4.5, 7.5, 0)","[0.25, 0.4, 0]",Yellow,11895,4036951
"(4.5, 8.875, 0)","(4.5, 8.5, 0)","[0.4, 0.25, 0]",Gray,3652,4036951
"(4.875, 8.5, 0)","(4.5, 8.5, 0)","[0.25, 0.4, 0]",Yellow,14902,4036951
"(4.5, 8.125, 0)","(4.5, 8.5, 0)","[0.4, 0.25, 0]",Green,8912,4036951
"(4.125, 8.5, 0)","(4.5, 8.5, 0)","[0.25, 0.4, 0]",Green,4564,4036951
"(4.5, 9.875, 0)","(4.5, 9.5, 0)","[0.4, 0.25, 0]",Yellow,12639,4036951
"(4.875, 9.5, 0)","(4.5, 9.5, 0)","[0.25, 0.4, 0]",Yellow,15480,4036951
"(4.5, 9.125, 0)","(4.5, 9.5, 0)","[0.4, 0.25, 0]",Green,6039,4036951
"(4.125, 9.5, 0)","(4.5, 9.5, 0)","[0.25, 0.4, 0]",Yellow,17360,4036951
"(5.5, 0.875, 0)","(5.5, 0.5, 0)","[0.4, 0.25, 0]",Yellow,17298,4036951
"(5.875, 0.5, 0)","(5.5, 0.5, 0)","[0.25, 0.4, 0]",Yellow,10246,4036951
"(5.5, 0.125, 0)","(5.5, 0.5, 0)","[0.4, 0.25, 0]",Yellow,15614,4036951
"(5.125, 0.5, 0)","(5.5, 0.5, 0)","[0.25, 0.4, 0]",Gray,784,4036951
"(5.5, 1.875, 0)","(5.5, 1.5, 0)","[0.4, 0.25, 0]",Yellow,10536,4036951
"(5.875, 1.5, 0)","(5.5, 1.5, 0)","[0.25, 0.4, 0]",Red,19284,4036951
"(5.5, 1.125, 0)","(5.5, 1.5, 0)","[0.4, 0.25, 0]",Gray,339,4036951
"(5.125, 1.5, 0)","(5.5, 1.5, 0)","[0.25, 0.4, 0]",Yellow,16871,4036951
"(5.5, 2.875, 0)","(5.5, 2.5, 0)","[0.4, 0.25, 0]",Green,6341,4036951
"(5.875, 2.5, 0)","(5.5, 2.5, 0)","[0.25, 0.4, 0]",Yellow,15212,4036951
"(5.5, 2.125, 0)","(5.5, 2.5, 0)","[0.4, 0.25, 0]",Gray,683,4036951
"(5.125, 2.5, 0)","(5.5, 2.5, 0)","[0.25, 0.4, 0]",Red,19884,4036951
"(5.5, 3.875, 0)","(5.5, 3.5, 0)","[0.4, 0.25, 0]",Yellow,10869,4036951
"(5.875, 3.5, 0)","(5.5, 3.5, 0)","[0.25, 0.4, 0]",Green,5885,4036951
"(5.5, 3.125, 0)","(5.5, 3.5, 0)","[0.4, 0.25, 0]",Green,8930,4036951
"(5.125, 3.5, 0)","(5.5, 3.5, 0)","[0.25, 0.4, 0]",Yellow,15593,4036951
"(5.5, 4.875, 0)","(5.5, 4.5, 0)","[0.4, 0.25, 0]",Yellow,15554,4036951
"(5.875, 4.5, 0)","(5.5, 4.5, 0)","[0.25, 0.4, 0]",Yellow,13858,4036951
"(5.5, 4.125, 0)","(5.5, 4.5, 0)","[0.4, 0.25, 0]",Yellow,11586,4036951
"(5.125, 4.5, 0)","(5.5, 4.5, 0)","[0.25, 0.4, 0]",Green,7838,4036951
"(5.5, 5.875, 0)","(5.5, 5.5, 0)","[0.4, 0.25, 0]",Gray,1865,4036951
"(5.875, 5.5, 0)","(5.5, 5.5, 0)","[0.25, 0.4, 0]",Red,19675,4036951
"(5.5, 5.125, 0)","(5.5, 5.5, 0)","[0.4, 0.25, 0]",Green,4906,4036951
"(5.125, 5.5, 0)","(5.5, 5.5, 0)","[0.25, 0.4, 0]",Green,9141,4036951
"(5.5, 6.875, 0)","(5.5, 6.5, 0)","[0.4, 0.25, 0]",Yellow,11071,4036951
"(5.875, 6.5, 0)","(5.5, 6.5, 0)","[0.25, 0.4, 0]",Green,7052,4036951
"(5.5, 6.125, 0)","(5.5, 6.5, 0)","[0.4, 0.25, 0]",Yellow,10248,4036951
"(5.125, 6.5, 0)","(5.5, 6.5, 0)","[0.25, 0.4, 0]",Green,4003,4036951
"(5.5, 7.875, 0)","(5.5, 7.5, 0)","[0.4, 0.25, 0]",Gray,2321,4036951
"(5.875, 7.5, 0)","(5.5, 7.5, 0)","[0.25, 0.4, 0]",Green,7175,4036951
"(5.5, 7.125, 0)","(5.5, 7.5, 0)","[0.4, 0.25, 0]",Yellow,16180,4036951
"(5.125, 7.5, 0)","(5.5, 7.5, 0)","[0.25, 0.4, 0]",Yellow,12916,4036951
"(5.5, 8.875, 0)","(5.5, 8.5, 0)","[0.4, 0.25, 0]",Yellow,17790,4036951
"(5.875, 8.5, 0)","(5.5, 8.5, 0)","[0.25, 0.4, 0]",Yellow,12687,4036951
"(5.5, 8.125, 0)","(5.5, 8.5, 0)","[0.4, 0.25, 0]",Red,18876,4036951
"(5.125, 8.5, 0)","(5.5, 8.5, 0)","[0.25, 0.4, 0]",Yellow,17210,4036951
"(5.5, 9.875, 0)","(5.5, 9.5, 0)","[0.4, 0.25, 0]",Gray,2161,4036951
"(5.875, 9.5, 0)","(5.5, 9.5, 0)","[0.25, 0.4, 0]",Green,4769,4036951
"(5.5, 9.125, 0)","(5.5, 9.5, 0)","[0.4, 0.25, 0]",Yellow,11594,4036951
"(5.125, 9.5, 0)","(5.5, 9.5, 0)","[0.25, 0.4, 0]",Red,18836,4036951
"(6.5, 0.875, 0)","(6.5, 0.5, 0)","[0.4, 0.25, 0]",Green,8385,4036951
"(6.875, 0.5, 0)","(6.5, 0.5, 0)","[0.25, 0.4, 0]",Green,4026,4036951
"(6.5, 0.125, 0)","(6.5, 0.5, 0)","[0.4, 0.25, 0]",Gray,2336,4036951
"(6.125, 0.5, 0)","(6.5, 0.5, 0)","[0.25, 0.4, 0]",Green,4476,4036951
"(6.5, 1.875, 0)","(6.5, 1.5, 0)","[0.4, 0.25, 0]",Yellow,16617,4036951
"(6.875, 1.5, 0)","(6.5, 1.5, 0)","[0.25, 0.4, 0]",Yellow,13760,4036951
"(6.5, 1.125, 0)","(6.5, 1.5, 0)","[0.4, 0.25, 0]",Green,5909,4036951
"(6.125, 1.5, 0)","(6.5, 1.5, 0)","[0.25, 0.4, 0]",Red,19161,4036951
"(6.5, 2.875, 0)","(6.5, 2.5, 0)","[0.4, 0.25, 0]",Yellow,13142,4036951
"(6.875, 2.5, 0)","(6.5, 2.5, 0)","[0.25, 0.4, 0]",Yellow,10866,4036951
"(6.5, 2.125, 0)","(6.5, 2.5, 0)","[0.4, 0.25, 0]",Gray,1024,4036951
"(6.125, 2.5, 0)","(6.5, 2.5, 0)","[0.25, 0.4, 0]",Yellow,14802,4036951
"(6.5, 3.875, 0)","(6.5, 3.5, 0)","[0.4, 0.25, 0]",Green,9925,4036951
"(6.875, 3.5, 0)","(6.5, 3.5, 0)","[0.25, 0.4, 0]",Gray,2606,4036951
"(6.5, 3.125, 0)","(6.5, 3.5, 0)","[0.4, 0.25, 0]",Yellow,16878,4036951
"(6.125, 3.5, 0)","(6.5, 3.5, 0)","[0.25, 0.4, 0]",Yellow,11173,4036951
"(6.5, 4.875, 0)","(6.5, 4.5, 0)","[0.4, 0.25, 0]",Yellow,16864,4036951
"(6.875, 4.5, 0)","(6.5, 4.5, 0)","[0.25, 0.4, 0]",Green,9996,4036951
