pose,center,size,color,value,total_dust
"(0.5, 8.125, 0)","(0.5, 8.5, 0)","[0.4, 0.25, 0]",Yellow,14169,4022686
"(0.125, 8.5, 0)","(0.5, 8.5, 0)","[0.25, 0.4, 0]",Gray,2372,4022686
"(0.5, 9.875, 0)","(0.5, 9.5, 0)","[0.4, 0.25, 0]",Gray,3616,4022686
"(0.875, 9.5, 0)","(0.5, 9.5, 0)","[0.25, 0.4, 0]",Yellow,11748,4022686
"(0.5, 9.125, 0)","(0.5, 9.5, 0)","[0.4, 0.25, 0]",Yellow,14709,4022686
"(0.125, 9.5, 0)","(0.5, 9.5, 0)","[0.25, 0.4, 0]",Yellow,10929,4022686
"(1.5, 0.875, 0)","(1.5, 0.5, 0)","[0.4, 0.25, 0]",Gray,2066,4022686
"(1.875, 0.5, 0)","(1.5, 0.5, 0)","[0.25, 0.4, 0]",Yellow,10496,4022686
"(1.5, 0.125, 0)","(1.5, 0.5, 0)","[0.4, 0.25, 0]",Gray,1286,4022686
"(1.125, 0.5, 0)","(1.5, 0.5, 0)","[0.25, 0.4, 0]",Yellow,10009,4022686
"(1.5, 1.875, 0)","(1.5, 1.5, 0)","[0.4, 0.25, 0]",Yellow,10198,4022686
"(1.875, 1.5, 0)","(1.5, 1.5, 0)","[0.25, 0.4, 0]",Green,8297,4022686
"(1.5, 1.125, 0)","(1.5, 1.5, 0)","[0.4, 0.25, 0]",Green,7749,4022686
"(1.125, 1.5, 0)","(1.5, 1.5, 0)","[0.25, 0.4, 0]",Gray,681,4022686
"(1.5, 2.875, 0)","(1.5, 2.5, 0)","[0.4, 0.25, 0]",Green,5083,4022686
"(1.875, 2.5, 0)","(1.5, 2.5, 0)","[0.25, 0.4, 0]",Gray,3203,4022686
"(1.5, 2.125, 0)","(1.5, 2.5, 0)","[0.4, 0.25, 0]",Green,4683,4022686
"(1.125, 2.5, 0)","(1.5, 2.5, 0)","[0.25, 0.4, 0]",Yellow,10593,4022686
"(1.5, 3.875, 0)","(1.5, 3.5, 0)","[0.4, 0.25, 0]",Gray,2283,4022686
"(1.875, 3.5, 0)","(1.5, 3.5, 0)","[0.25, 0.4, 0]",Green,6122,4022686
"(1.5, 3.125, 0)","(1.5, 3.5, 0)","[0.4, 0.25, 0]",Yellow,16162,4022686
"(1.125, 3.5, 0)","(1.5, 3.5, 0)","[0.25, 0.4, 0]",Gray,2195,4022686
"(1.5, 4.875, 0)","(1.5, 4.5, 0)","[0.4, 0.25, 0]",Yellow,16167,4022686
"(1.875, 4.5, 0)","(1.5, 4.5, 0)","[0.25, 0.4, 0]",Gray,3846,4022686
"(1.5, 4.125, 0)","(1.5, 4.5, 0)","[0.4, 0.25, 0]",Yellow,17148,4022686
"(1.125, 4.5, 0)","(1.5, 4.5, 0)","[0.25, 0.4, 0]",Red,19469,4022686
"(1.5, 5.875, 0)","(1.5, 5.5, 0)","[0.4, 0.25, 0]",Green,8180,4022686
"(1.875, 5.5, 0)","(1.5, 5.5, 0)","[0.25, 0.4, 0]",Green,6638,4022686
"(1.5, 5.125, 0)","(1.5, 5.5, 0)","[0.4, 0.25, 0]",Gray,2994,4022686
"(1.125, 5.5, 0)","(1.5, 5.5, 0)","[0.25, 0.4, 0]",Green,6495,4022686
"(1.5, 6.875, 0)","(1.5, 6.5, 0)","[0.4, 0.25, 0]",Gray,2980,4022686
"(1.875, 6.5, 0)","(1.5, 6.5, 0)","[0.25, 0.4, 0]",Yellow,14854,4022686
"(1.5, 6.125, 0)","(1.5, 6.5, 0)","[0.4, 0.25, 0]",Green,4188,4022686
"(1.125, 6.5, 0)","(1.5, 6.5, 0)","[0.25, 0.4, 0]",Gray,3012,4022686
"(1.5, 7.875, 0)","(1.5, 7.5, 0)","[0.4, 0.25, 0]",Red,19162,4022686
"(1.875, 7.5, 0)","(1.5, 7.5, 0)","[0.25, 0.4, 0]",Green,6964,4022686
"(1.5, 7.125, 0)","(1.5, 7.5, 0)","[0.4, 0.25, 0]",Yellow,12562,4022686
"(1.125, 7.5, 0)","(1.5, 7.5, 0)","[0.25, 0.4, 0]",Green,9023,4022686
"(1.5, 8.875, 0)","(1.5, 8.5, 0)","[0.4, 0.25, 0]",Yellow,11624,4022686
"(1.875, 8.5, 0)","(1.5, 8.5, 0)","[0.25, 0.4, 0]",Yellow,15567,4022686
"(1.5, 8.125, 0)","(1.5, 8.5, 0)","[0.4, 0.25, 0]",Green,5413,4022686
"(1.125, 8.5, 0)","(1.5, 8.5, 0)","[0.25, 0.4, 0]",Gray,136,4022686
"(1.5, 9.875, 0)","(1.5, 9.5, 0)","[0.4, 0.25, 0]",Yellow,15070,4022686
"(1.875, 9.5, 0)","(1.5, 9.5, 0)","[0.25, 0.4, 0]",Red,19820,4022686
"(1.5, 9.125, 0)","(1.5, 9.5, 0)","[0.4, 0.25, 0]",Yellow,12261,4022686
"(1.125, 9.5, 0)","(1.5, 9.5, 0)","[0.25, 0.4, 0]",Green,8785,4022686
"(2.5, 0.875, 0)","(2.5, 0.5, 0)","[0.4, 0.25, 0]",Gray,2943,4022686
"(2.875, 0.5, 0)","(2.5, 0.5, 0)","[0.25, 0.4, 0]",Yellow,16953,4022686
"(2.5, 0.125, 0)","(2.5, 0.5, 0)","[0.4, 0.25, 0]",Red,18121,4022686
"(2.125, 0.5, 0)","(2.5, 0.5, 0)","[0.25, 0.4, 0]",Yellow,11122,4022686
"(2.5, 1.875, 0)","(2.5, 1.5, 0)","[0.4, 0.25, 0]",Green,6495,4022686
"(2.875, 1.5, 0)","(2.5, 1.5, 0)","[0.25, 0.4, 0]",Green,5927,4022686
"(2.5, 1.125, 0)","(2.5, 1.5, 0)","[0.4, 0.25, 0]",Yellow,15149,4022686
"(2.125, 1.5, 0)","(2.5, 1.5, 0)","[0.25, 0.4, 0]",Green,6535,4022686
"(2.5, 2.875, 0)","(2.5, 2.5, 0)","[0.4, 0.25, 0]",Yellow,12051,4022686
"(2.875, 2.5, 0)","(2.5, 2.5, 0)","[0.25, 0.4, 0]",Green,8750,4022686
"(2.5, 2.125, 0)","(2.5, 2.5, 0)","[0.4, 0.25, 0]",Red,19618,4022686
"(2.125, 2.5, 0)","(2.5, 2.5, 0)","[0.25, 0.4, 0]",Yellow,16981,4022686
"(2.5, 3.875, 0)","(2.5, 3.5, 0)","[0.4, 0.25, 0]",Green,6800,4022686
"(2.875, 3.5, 0)","(2.5, 3.5, 0)","[0.25, 0.4, 0]",Yellow,10401,4022686
"(2.5, 3.125, 0)","(2.5, 3.5, 0)","[0.4, 0.25, 0]",Green,6854,4022686
"(2.125, 3.5, 0)","(2.5, 3.5, 0)","[0.25, 0.4, 0]",Yellow,13904,4022686
"(2.5, 4.875, 0)","(2.5, 4.5, 0)","[0.4, 0.25, 0]",Green,6902,4022686
"(2.875, 4.5, 0)","(2.5, 4.5, 0)","[0.25, 0.4, 0]",Yellow,16669,4022686
"(2.5, 4.125, 0)","(2.5, 4.5, 0)","[0.4, 0.25, 0]",Yellow,13784,4022686
"(2.125, 4.5, 0)","(2.5, 4.5, 0)","[0.25, 0.4, 0]",Green,6979,4022686
"(2.5, 5.875, 0)","(2.5, 5.5, 0)","[0.4, 0.25, 0]",Red,18766,4022686
"(2.875, 5.5, 0)","(2.5, 5.5, 0)","[0.25, 0.4, 0]",Gray,2466,4022686
"(2.5, 5.125, 0)","(2.5, 5.5, 0)","[0.4, 0.25, 0]",Green,9865,4022686
"(2.125, 5.5, 0)","(2.5, 5.5, 0)","[0.25, 0.4, 0]",Yellow,16730,4022686
"(2.5, 6.875, 0)","(2.5, 6.5, 0)","[0.4, 0.25, 0]",Green,5693,4022686
"(2.875, 6.5, 0)","(2.5, 6.5, 0)","[0.25, 0.4, 0]",Red,18654,4022686
"(2.5, 6.125, 0)","(2.5, 6.5, 0)","[0.4, 0.25, 0]",Green,4781,4022686
"(2.125, 6.5, 0)","(2.5, 6.5, 0)","[0.25, 0.4, 0]",Yellow,16876,4022686
"(2.5, 7.875, 0)","(2.5, 7.5, 0)","[0.4, 0.25, 0]",Yellow,17079,4022686
"(2.875, 7.5, 0)","(2.5, 7.5, 0)","[0.25, 0.4, 0]",Green,7827,4022686
"(2.5, 7.125, 0)","(2.5, 7.5, 0)","[0.4, 0.25, 0]",Red,19483,4022686
"(2.125, 7.5, 0)","(2.5, 7.5, 0)","[0.25, 0.4, 0]",Yellow,16089,4022686
"(2.5, 8.875, 0)","(2.5, 8.5, 0)","[0.4, 0.25, 0]",Yellow,11733,4022686
"(2.875, 8.5, 0)","(2.5, 8.5, 0)","[0.25, 0.4, 0]",Red,18144,4022686
"(2.5, 8.125, 0)","(2.5, 8.5, 0)","[0.4, 0.25, 0]",Red,19076,4022686
"(2.125, 8.5, 0)","(2.5, 8.5, 0)","[0.25, 0.4, 0]",Green,9139,4022686
"(2.5, 9.875, 0)","(2.5, 9.5, 0)","[0.4, 0.25, 0]",Green,9362,4022686
"(2.875, 9.5, 0)","(2.5, 9.5, 0)","[0.25, 0.4, 0]",Yellow,13080,4022686
"(2.5, 9.125, 0)","(2.5, 9.5, 0)","[0.4, 0.25, 0]",Yellow,17078,4022686
"(2.125, 9.5, 0)","(2.5, 9.5, 0)","[0.25, 0.4, 0]",Yellow,13372,4022686
"(3.5, 0.875, 0)","(3.5, 0.5, 0)","[0.4, 0.25, 0]",Yellow,11644,4022686
"(3.875, 0.5, 0)","(3.5, 0.5, 0)","[0.25, 0.4, 0]",Yellow,16392,4022686
"(3.5, 0.125, 0)","(3.5, 0.5, 0)","[0.4, 0.25, 0]",Gray,1824,4022686
"(3.125, 0.5, 0)","(3.5, 0.5, 0)","[0.25, 0.4, 0]",Red,18308,4022686
"(3.5, 1.875, 0)","(3.5, 1.5, 0)","[0.4, 0.25, 0]",Green,5869,4022686
"(3.875, 1.5, 0)","(3.5, 1.5, 0)","[0.25, 0.4, 0]",Gray,2062,4022686
"(3.5, 1.125, 0)","(3.5, 1.5, 0)","[0.4, 0.25, 0]",Yellow,13434,4022686
"(3.125, 1.5, 0)","(3.5, 1.5, 0)","[0.25, 0.4, 0]",Green,7874,4022686
"(3.5, 2.875, 0)","(3.5, 2.5, 0)","[0.4, 0.25, 0]",Yellow,15675,4022686
"(3.875, 2.5, 0)","(3.5, 2.5, 0)","[0.25, 0.4, 0]",Green,5264,4022686
"(3.5, 2.125, 0)","(3.5, 2.5, 0)","[0.4, 0.25, 0]",Red,18183,4022686
"(3.125, 2.5, 0)","(3.5, 2.5, 0)","[0.25, 0.4, 0]",Green,8847,4022686
"(3.5, 3.875, 0)","(3.5, 3.5, 0)","[0.4, 0.25, 0]",Gray,1263,4022686
"(3.875, 3.5, 0)","(3.5, 3.5, 0)","[0.25, 0.4, 0]",Green,5104,4022686
"(3.5, 3.125, 0)","(3.5, 3.5, 0)","[0.4, 0.25, 0]",Green,5288,4022686
"(3.125, 3.5, 0)","(3.5, 3.5, 0)","[0.25, 0.4, 0]",Green,9345,4022686
"(3.5, 4.875, 0)","(3.5, 4.5, 0)","[0.4, 0.25, 0]",Yellow,13341,4022686
"(3.875, 4.5, 0)","(3.5, 4.5, 0)","[0.25, 0.4, 0]",Red,19061,4022686
"(3.5, 4.125, 0)","(3.5, 4.5, 0)","[0.4, 0.25, 0]",Yellow,11406,4022686
"(3.125, 4.5, 0)","(3.5, 4.5, 0)","[0.25, 0.4, 0]",Red,19309,4022686
"(3.5, 5.875, 0)","(3.5, 5.5, 0)","[0.4, 0.25, 0]",Red,18611,4022686
"(3.875, 5.5, 0)","(3.5, 5.5, 0)","[0.25, 0.4, 0]",Red,18204,4022686
"(3.5, 5.125, 0)","(3.5, 5.5, 0)","[0.4, 0.25, 0]",Green,4665,4022686
"(3.125, 5.5, 0)","(3.5, 5.5, 0)","[0.25, 0.4, 0]",Green,9447,4022686
"(3.5, 6.875, 0)","(3.5, 6.5, 0)","[0.4, 0.25, 0]",Yellow,13647,4022686
"(3.875, 6.5, 0)","(3.5, 6.5, 0)","[0.25, 0.4, 0]",Yellow,13274,4022686
"(3.5, 6.125, 0)","(3.5, 6.5, 0)","[0.4, 0.25, 0]",Gray,3508,4022686
"(3.125, 6.5, 0)","(3.5, 6.5, 0)","[0.25, 0.4, 0]",Yellow,13183,4022686
"(3.5, 7.875, 0)","(3.5, 7.5, 0)","[0.4, 0.25, 0]",Yellow,11080,4022686
"(3.875, 7.5, 0)","(3.5, 7.5, 0)","[0.25, 0.4, 0]",Green,8495,4022686
"(3.5, 7.125, 0)","(3.5, 7.5, 0)","[0.4, 0.25, 0]",Yellow,13637,4022686
"(3.125, 7.5, 0)","(3.5, 7.5, 0)","[0.25, 0.4, 0]",Green,5787,4022686
"(3.5, 8.875, 0)","(3.5, 8.5, 0)","[0.4, 0.25, 0]",Green,8091,4022686
"(3.875, 8.5, 0)","(3.5, 8.5, 0)","[0.25, 0.4, 0]",Green,7672,4022686
"(3.5, 8.125, 0)","(3.5, 8.5, 0)","[0.4, 0.25, 0]",Yellow,10484,4022686
"(3.125, 8.5, 0)","(3.5, 8.5, 0)","[0.25, 0.4, 0]",Gray,1199,4022686
"(3.5, 9.875, 0)","(3.5, 9.5, 0)","[0.4, 0.25, 0]",Green,4481,4022686
"(3.875, 9.5, 0)","(3.5, 9.5, 0)","[0.25, 0.4, 0]",Yellow,11991,4022686
"(3.5, 9.125, 0)","(3.5, 9.5, 0)","[0.4, 0.25, 0]",Yellow,15493,4022686
"(3.125, 9.5, 0)","(3.5, 9.5, 0)","[0.25, 0.4, 0]",Yellow,15536,4022686
"(4.5, 0.875, 0)","(4.5, 0.5, 0)","[0.4, 0.25, 0]",Yellow,15152,4022686
"(4.875, 0.5, 0)","(4.5, 0.5, 0)","[0.25, 0.4, 0]",Gray,1630,4022686
"(4.5, 0.125, 0)","(4.5, 0.5, 0)","[0.4, 0.25, 0]",Gray,1919,4022686
"(4.125, 0.5, 0)","(4.5, 0.5, 0)","[0.25, 0.4, 0]",Yellow,10696,4022686
"(4.5, 1.875, 0)","(4.5, 1.5, 0)","[0.4, 0.25, 0]",Green,7188,4022686
"(4.875, 1.5, 0)","(4.5, 1.5, 0)","[0.25, 0.4, 0]",Red,19337,4022686
"(4.5, 1.125, 0)","(4.5, 1.5, 0)","[0.4, 0.25, 0]",Green,9062,4022686
"(4.125, 1.5, 0)","(4.5, 1.5, 0)","[0.25, 0.4, 0]",Yellow,10827,4022686
"(4.5, 2.875, 0)","(4.5, 2.5, 0)","[0.4, 0.25, 0]",Yellow,10740,4022686
"(4.875, 2.5, 0)","(4.5, 2.5, 0)","[0.25, 0.4, 0]",Yellow,10656,4022686
"(4.5, 2.125, 0)","(4.5, 2.5, 0)","[0.4, 0.25, 0]",Green,4395,4022686
"(4.125, 2.5, 0)","(4.5, 2.5, 0)","[0.25, 0.4, 0]",Gray,1364,4022686
"(4.5, 3.875, 0)","(4.5, 3.5, 0)","[0.4, 0.25, 0]",Green,4401,4022686
"(4.875, 3.5, 0)","(4.5, 3.5, 0)","[0.25, 0.4, 0]",Green,4986,4022686
"(4.5, 3.125, 0)","(4.5, 3.5, 0)","[0.4, 0.25, 0]",Green,9722,4022686
"(4.125, 3.5, 0)","(4.5, 3.5, 0)","[0.25, 0.4, 0]",Green,6353,4022686
"(4.5, 4.875, 0)","(4.5, 4.5, 0)","[0.4, 0.25, 0]",Red,18065,4022686
"(4.875, 4.5, 0)","(4.5, 4.5, 0)","[0.25, 0.4, 0]",Yellow,11526,4022686
"(4.5, 4.125, 0)","(4.5, 4.5, 0)","[0.4, 0.25, 0]",Gray,1811,4022686
"(4.125, 4.5, 0)","(4.5, 4.5, 0)","[0.25, 0.4, 0]",Green,5455,4022686
"(4.5, 5.875, 0)","(4.5, 5.5, 0)","[0.4, 0.25, 0]",Yellow,11192,4022686
"(4.875, 5.5, 0)","(4.5, 5.5, 0)","[0.25, 0.4, 0]",Green,8004,4022686
"(4.5, 5.125, 0)","(4.5, 5.5, 0)","[0.4, 0.25, 0]",Gray,2607,4022686
"(4.125, 5.5, 0)","(4.5, 5.5, 0)","[0.25, 0.4, 0]",Yellow,11534,4022686
"(4.5, 6.875, 0)","(4.5, 6.5, 0)","[0.4, 0.25, 0]",Green,4761,4022686
"(4.875, 6.5, 0)","(4.5, 6.5, 0)","[0.25, 0.4, 0]",Gray,2107,4022686
"(4.5, 6.125, 0)","(4.5, 6.5, 0)","[0.4, 0.25, 0]",Green,7099,4022686
"(4.125, 6.5, 0)","(4.5, 6.5, 0)","[0.25, 0.4, 0]",Yellow,15705,4022686
"(4.5, 7.875, 0)","(4.5, 7.5, 0)","[0.4, 0.25, 0]",Red,19373,4022686
"(4.875, 7.5, 0)","(4.5, 7.5, 0)","[0.25, 0.4, 0]",Yellow,14793,4022686
"(4.5, 7.125, 0)","(4.5, 7.5, 0)","[0.4, 0.25, 0]",Yellow,16680,4022686
"(4.125, 7.5, 0)","(4.5, 7.5, 0)","[0.25, 0.4, 0]",Green,5083,4022686
"(4.5, 8.875, 0)","(4.5, 8.5, 0)","[0.4, 0.25, 0]",Yellow,17558,4022686
"(4.875, 8.5, 0)","(4.5, 8.5, 0)","[0.25, 0.4, 0]",Yellow,10837,4022686
"(4.5, 8.125, 0)","(4.5, 8.5, 0)","[0.4, 0.25, 0]",Green,9351,4022686
"(4.125, 8.5, 0)","(4.5, 8.5, 0)","[0.25, 0.4, 0]",Yellow,12106,4022686
"(4.5, 9.875, 0)","(4.5, 9.5, 0)","[0.4, 0.25, 0]",Green,7574,4022686
"(4.875, 9.5, 0)","(4.5, 9.5, 0)","[0.25, 0.4, 0]",Green,8473,4022686
"(4.5, 9.125, 0)","(4.5, 9.5, 0)","[0.4, 0.25, 0]",Green,8261,4022686
"(4.125, 9.5, 0)","(4.5, 9.5, 0)","[0.25, 0.4, 0]",Green,9370,4022686
"(5.5, 0.875, 0)","(5.5, 0.5, 0)","[0.4, 0.25, 0]",Green,7819,4022686
"(5.875, 0.5, 0)","(5.5, 0.5, 0)","[0.25, 0.4, 0]",Red,19293,4022686
"(5.5, 0.125, 0)","(5.5, 0.5, 0)","[0.4, 0.25, 0]",Yellow,15592,4022686
"(5.125, 0.5, 0)","(5.5, 0.5, 0)","[0.25, 0.4, 0]",Gray,3248,4022686
"(5.5, 1.875, 0)","(5.5, 1.5, 0)","[0.4, 0.25, 0]",Gray,1232,4022686
"(5.875, 1.5, 0)","(5.5, 1.5, 0)","[0.25, 0.4, 0]",Gray,3837,4022686
"(5.5, 1.125, 0)","(5.5, 1.5, 0)","[0.4, 0.25, 0]",Green,4905,4022686
"(5.125, 1.5, 0)","(5.5, 1.5, 0)","[0.25, 0.4, 0]",Yellow,12362,4022686
"(5.5, 2.875, 0)","(5.5, 2.5, 0)","[0.4, 0.25, 0]",Red,19350,4022686
"(5.875, 2.5, 0)","(5.5, 2.5, 0)","[0.25, 0.4, 0]",Green,4698,4022686
"(5.5, 2.125, 0)","(5.5, 2.5, 0)","[0.4, 0.25, 0]",Yellow,11143,4022686
"(5.125, 2.5, 0)","(5.5, 2.5, 0)","[0.25, 0.4, 0]",Yellow,15796,4022686
"(5.5, 3.875, 0)","(5.5, 3.5, 0)","[0.4, 0.25, 0]",Yellow,12799,4022686
"(5.875, 3.5, 0)","(5.5, 3.5, 0)","[0.25, 0.4, 0]",Gray,2039,4022686
"(5.5, 3.125, 0)","(5.5, 3.5, 0)","[0.4, 0.25, 0]",Green,6776,4022686
"(5.125, 3.5, 0)","(5.5, 3.5, 0)","[0.25, 0.4, 0]",Yellow,17456,4022686
"(5.5, 4.875, 0)","(5.5, 4.5, 0)","[0.4, 0.25, 0]",Yellow,11568,4022686
"(5.875, 4.5, 0)","(5.5, 4.5, 0)","[0.25, 0.4, 0]",Yellow,10569,4022686
"(5.5, 4.125, 0)","(5.5, 4.5, 0)","[0.4, 0.25, 0]",Gray,3121,4022686
"(5.125, 4.5, 0)","(5.5, 4.5, 0)","[0.25, 0.4, 0]",Green,5183,4022686
"(5.5, 5.875, 0)","(5.5, 5.5, 0)","[0.4, 0.25, 0]",Gray,3970,4022686
"(5.875, 5.5, 0)","(5.5, 5.5, 0)","[0.25, 0.4, 0]",Green,4703,4022686
"(5.5, 5.125, 0)","(5.5, 5.5, 0)","[0.4, 0.25, 0]",Green,8738,4022686
"(5.125, 5.5, 0)","(5.5, 5.5, 0)","[0.25, 0.4, 0]",Green,4295,4022686
"(5.5, 6.875, 0)","(5.5, 6.5, 0)","[0.4, 0.25, 0]",Green,5057,4022686
"(5.875, 6.5, 0)","(5.5, 6.5, 0)","[0.25, 0.4, 0]",Gray,1190,4022686
"(5.5, 6.125, 0)","(5.5, 6.5, 0)","[0.4, 0.25, 0]",Green,7229,4022686
"(5.125, 6.5, 0)","(5.5, 6.5, 0)","[0.25, 0.4, 0]",Green,9474,4022686
"(5.5, 7.875, 0)","(5.5, 7.5, 0)","[0.4, 0.25, 0]",Yellow,17417,4022686
"(5.875, 7.5, 0)","(5.5, 7.5, 0)","[0.25, 0.4, 0]",Green,4110,4022686
"(5.5, 7.125, 0)","(5.5, 7.5, 0)","[0.4, 0.25, 0]",Yellow,13041,4022686
"(5.125, 7.5, 0)","(5.5, 7.5, 0)","[0.25, 0.4, 0]",Yellow,10548,4022686
"(5.5, 8.875, 0)","(5.5, 8.5, 0)","[0.4, 0.25, 0]",Yellow,11879,4022686
"(5.875, 8.5, 0)","(5.5, 8.5, 0)","[0.25, 0.4, 0]",Yellow,14208,4022686
"(5.5, 8.125, 0)","(5.5, 8.5, 0)","[0.4, 0.25, 0]",Yellow,10590,4022686
"(5.125, 8.5, 0)","(5.5, 8.5, 0)","[0.25, 0.4, 0]",Yellow,13314,4022686
"(5.5, 9.875, 0)","(5.5, 9.5, 0)","[0.4, 0.25, 0]",Green,9483,4022686
"(5.875, 9.5, 0)","(5.5, 9.5, 0)","[0.25, 0.4, 0]",Green,7385,4022686
"(5.5, 9.125, 0)","(5.5, 9.5, 0)","[0.4, 0.25, 0]",Yellow,12615,4022686
"(5.125, 9.5, 0)","(5.5, 9.5, 0)","[0.25, 0.4, 0]",Green,8892,4022686
"(6.5, 0.875, 0)","(6.5, 0.5, 0)","[0.4, 0.25, 0]",Red,18542,4022686
"(6.875, 0.5, 0)","(6.5, 0.5, 0)","[0.25, 0.4, 0]",Gray,2968,4022686
"(6.5, 0.125, 0)","(6.5, 0.5, 0)","[0.4, 0.25, 0]",Green,8777,4022686
"(6.125, 0.5, 0)","(6.5, 0.5, 0)","[0.25, 0.4, 0]",Yellow,17767,4022686
"(6.5, 1.875, 0)","(6.5, 1.5, 0)","[0.4, 0.25, 0]",Yellow,11494,4022686
"(6.875, 1.5, 0)","(6.5, 1.5, 0)","[0.25, 0.4, 0]",Yellow,11246,4022686
"(6.5, 1.125, 0)","(6.5, 1.5, 0)","[0.4, 0.25, 0]",Gray,2875,4022686
"(6.125, 1.5, 0)","(6.5, 1.5, 0)","[0.25, 0.4, 0]",Green,4794,4022686
"(6.5, 2.875, 0)","(6.5, 2.5, 0)","[0.4, 0.25, 0]",Yellow,16802,4022686
"(6.875, 2.5, 0)","(6.5, 2.5, 0)","[0.25, 0.4, 0]",Green,9648,4022686
"(6.5, 2.125, 0)","(6.5, 2.5, 0)","[0.4, 0.25, 0]",Red,18227,4022686
"(6.125, 2.5, 0)","(6.5, 2.5, 0)","[0.25, 0.4, 0]",Green,9140,4022686
"(6.5, 3.875, 0)","(6.5, 3.5, 0)","[0.4, 0.25, 0]",Gray,3792,4022686
"(6.875, 3.5, 0)","(6.5, 3.5, 0)","[0.25, 0.4, 0]",Red,19172,4022686
"(6.5, 3.125, 0)","(6.5, 3.5, 0)","[0.4, 0.25, 0]",Green,6818,4022686
"(6.125, 3.5, 0)","(6.5, 3.5, 0)","[0.25, 0.4, 0]",Gray,798,4022686
"(6.5, 4.875, 0)","(6.5, 4.5, 0)","[0.4, 0.25, 0]",Gray,2324,4022686
"(6.875, 4.5, 0)","(6.5, 4.5, 0)","[0.25, 0.4, 0]",Gray,282,4022686
